"Date of Sale (dd/mm/yyyy)","Address","Postal Code","County","Price (€)","Not Full Market Price","Description of Property","Property Size Description"
"31/05/2012","6 Fairgreen, Rathkeale","","Limerick","€50,500.00","No","Second-Hand Dwelling house /Apartment",""
"31/05/2012","Apartment 2, Vandaleur Mews, Ennis Road","","Limerick","€110,000.00","No","New Dwelling house /Apartment","greater than 125 sq metres"
"31/05/2012","APT 325 Brookfield Hall, Castletroy","","Limerick","€65,000.00","No","Second-Hand Dwelling house /Apartment",""
"31/05/2012","Cluain Mhuire, Pallaskenry","","Limerick","€155,000.00","No","Second-Hand Dwelling house /Apartment",""
"31/05/2012","Lisamotta, Kilfinny, Adare","","Limerick","€215,000.00","No","Second-Hand Dwelling house /Apartment",""
"01/06/2012","APT 7 VANDALEUR MEWS, ENNIS ROAD","","Limerick","€88,862.00","No","New Dwelling house /Apartment","greater than 125 sq metres"
"01/06/2012","Coolaboy, Dromcollogher","","Limerick","€184,000.00","No","Second-Hand Dwelling house /Apartment",""
"01/06/2012","Foil, Abbeyfeale","","Limerick","€197,000.00","No","Second-Hand Dwelling house /Apartment",""
"05/06/2012","35 Sycamore Drive, Bruff, Co. Limerick","","Limerick","€90,000.00","No","Second-Hand Dwelling house /Apartment",""
"05/06/2012","9 Ballinvoher Road, Fr. Russel Road, Limerick","","Limerick","€262,000.00","No","Second-Hand Dwelling house /Apartment",""
"05/06/2012","Cloncrippa, Feenagh","","Limerick","€108,000.00","No","Second-Hand Dwelling house /Apartment",""
"06/06/2012","32 The VIllas, Adare Manor, Adare","","Limerick","€900,000.00","No","New Dwelling house /Apartment","greater than or equal to 38 sq metres and less than 125 sq metres"
"06/06/2012","53 MARY STREET, LIMERICK","","Limerick","€47,575.00","Yes","Second-Hand Dwelling house /Apartment",""
"06/06/2012","7 SINGLAND CRESCENT, GARRYOWEN, LIMERICK","","Limerick","€105,000.00","No","Second-Hand Dwelling house /Apartment",""
"06/06/2012","Camas, Newcastlewest","","Limerick","€49,000.00","No","Second-Hand Dwelling house /Apartment",""
"06/06/2012","Telegraph Cottage, Ballykevin, Ballingarry","","Limerick","€58,000.00","No","Second-Hand Dwelling house /Apartment",""
"07/06/2012","1 Athlunkard Villas, Limerick","","Limerick","€44,000.00","No","Second-Hand Dwelling house /Apartment",""
